user_id,date,age,gender,height_cm,weight_kg,calorie_intake,steps,activity_level,sleep_hours,diet_type,tdee,caloric_surplus,weight_change
U0001,2022-01-01,38,M,182.4,77.71,3299.9,4570,sedentary,8.6,omnivore,2147.1,1152.8,0.15000000000000568
U0001,2022-01-02,38,M,182.4,77.86,3211.1,7097,sedentary,7.1,omnivore,2149.5,1061.6,0.14000000000000057
U0001,2022-01-03,38,M,182.4,78.0,2817.7,2862,sedentary,8.6,omnivore,2151.7,666.0,0.09000000000000341
U0001,2022-01-04,38,M,182.4,78.09,3090.6,2001,sedentary,6.6,omnivore,2153.1,937.5,0.11999999999999034
U0001,2022-01-05,38,M,182.4,78.21,3202.9,5402,sedentary,6.9,omnivore,2155.0,1047.8,0.13000000000000966
U0001,2022-01-06,38,M,182.4,78.34,3045.9,3338,sedentary,6.2,omnivore,2157.2,888.7,0.11999999999999034
U0001,2022-01-07,38,M,182.4,78.46,3303.6,3490,sedentary,8.5,omnivore,2159.1,1144.5,0.15000000000000568
U0001,2022-01-08,38,M,182.4,78.61,3531.3,3250,sedentary,7.6,omnivore,2161.5,1369.8,0.18000000000000682
U0001,2022-01-09,38,M,182.4,78.79,3216.2,4913,sedentary,5.9,omnivore,2164.3,1051.9,0.12999999999999545
U0001,2022-01-10,38,M,182.4,78.92,3248.0,3177,sedentary,7.4,omnivore,2166.5,1081.4,0.14000000000000057
U0001,2022-01-11,38,M,182.4,79.06,3130.4,3630,sedentary,7.8,omnivore,2168.8,961.6,0.12999999999999545
U0001,2022-01-12,38,M,182.4,79.19,3031.8,6116,sedentary,5.7,omnivore,2170.8,861.0,0.10999999999999943
U0001,2022-01-13,38,M,182.4,79.3,3110.0,8465,sedentary,6.1,omnivore,2172.6,937.4,0.12000000000000455
U0001,2022-01-14,38,M,182.4,79.42,3005.5,5330,sedentary,7.4,omnivore,2174.6,830.9,0.10999999999999943
U0001,2022-01-15,38,M,182.4,79.53,3348.5,5596,sedentary,8.4,omnivore,2176.3,1172.2,0.15000000000000568
U0001,2022-01-16,38,M,182.4,79.68,3312.4,5679,sedentary,9.3,omnivore,2178.7,1133.6,0.14999999999999147
U0001,2022-01-17,38,M,182.4,79.83,3076.3,2056,sedentary,8.4,omnivore,2181.1,895.2,0.10999999999999943
